datetime,temp,rain,wind_speed
2025-07-02 15:00:00,30.49,0.0,5.77
2025-07-02 18:00:00,26.7,0.0,7.91
2025-07-02 21:00:00,23.01,0.0,7.6
2025-07-03 00:00:00,21.99,0.0,5.68
2025-07-03 03:00:00,21.42,0.0,6.07
2025-07-03 06:00:00,23.46,0.0,7.3
2025-07-03 09:00:00,27.87,0.0,5.72
2025-07-03 12:00:00,29.83,0.0,3.58
2025-07-03 15:00:00,26.68,0.0,3.78
2025-07-03 18:00:00,23.85,0.0,8.34
2025-07-03 21:00:00,21.61,0.0,7.45
2025-07-04 00:00:00,20.36,0.0,6.89
2025-07-04 03:00:00,20.27,0.0,6.91
2025-07-04 06:00:00,23.1,0.0,7.71
2025-07-04 09:00:00,27.82,0.0,6.81
2025-07-04 12:00:00,29.47,0.0,3.84
2025-07-04 15:00:00,26.4,0.0,2.42
2025-07-04 18:00:00,24.17,0.0,5.7
2025-07-04 21:00:00,22.21,0.0,7.08
2025-07-05 00:00:00,20.34,0.0,6.0
2025-07-05 03:00:00,19.17,0.0,5.69
2025-07-05 06:00:00,23.23,0.0,6.29
2025-07-05 09:00:00,27.8,0.0,4.92
2025-07-05 12:00:00,29.57,0.0,2.65
2025-07-05 15:00:00,26.3,0.0,2.29
2025-07-05 18:00:00,24.01,0.0,6.26
2025-07-05 21:00:00,21.65,0.0,6.43
2025-07-06 00:00:00,20.32,0.0,5.4
2025-07-06 03:00:00,18.69,0.0,4.6
2025-07-06 06:00:00,23.23,0.0,6.1
2025-07-06 09:00:00,28.0,0.0,4.46
2025-07-06 12:00:00,28.85,0.0,1.86
2025-07-06 15:00:00,26.31,0.0,1.51
2025-07-06 18:00:00,23.69,0.0,5.59
2025-07-06 21:00:00,20.84,0.0,3.24
2025-07-07 00:00:00,19.63,0.0,3.39
2025-07-07 03:00:00,18.9,0.0,3.48
2025-07-07 06:00:00,23.6,0.0,4.32
2025-07-07 09:00:00,28.62,0.0,1.82
2025-07-07 12:00:00,29.04,0.0,2.12
